VARIAN_NAME,FRAGRANT,FORMULA,AQUADEST,ALKOHOL,GENDER,JENIS,UKURAN,HARGA
HMNS FARHAMPTON,FARHAMPTON+UVINUL+CI GREY,30.03,0.0,69.97,UNISEX,SP,100.0,332100
HMNS PERFECTION,PERFECTION MOD,15.0,0.0,85.0,UNISEX,SP,100.0,358200
HMNS ALPHA,ALPHA,30.0,0.0,70.0,UNISEX,SP,100.0,310500
MYKONOS ROSSY,ROSE+PINK PEPPER,7.0,10.0,83.0,CEWE,BM,115.0,67000
MYKONOS MATCHA SUNDAY,ZEN DROPS,7.0,10.0,83.0,CEWE,BM,115.0,67000
MYKONOS BERRY CARAMEL PANCAKE,VANILLA PANCAKE,10.26,5.0,84.74,CEWE,EDP,50.0,111600
MYKONOS CARAMEL FUDGE COOKIE,POPCORN CARAMEL,26.09,5.0,68.91,CEWE,EDP,50.0,99000
HMNS UNTITLED,MAD OVER YOU MOOD,15.0,0.0,85.0,UNISEX,EDP,100.0,355500
HMNS ELEA,ANGEL+TAGAT,10.0,20.0,70.0,CEWE,BM,250.0,166500
HMNS FAIRYTALE FANTASY,SNOW WHITE+GLYCERIN+TAGAT,12.5,22.5,65.0,CEWE,BM,250.0,130500
HMNS SYMPHONY OF FLOWERS,SERENDIPTY,12.5,22.5,65.0,CEWE,BM,250.0,130500
SAFF&CO SOLARIS,SOLARIS,55.0,0.0,45.0,UNISEX,EDT,30.0,190000
SAFF&CO LASPOZAS,LASPOZAS,55.0,0.0,45.0,UNISEX,EDT,30.0,127000
SAFF&CO SOTB,SOTB,55.0,0.0,45.0,UNISEX,EDT,30.0,239000
SAFF&CO SAFF,SAFF,55.0,0.0,45.0,UNISEX,EDT,30.0,127000
SAFF&CO OSTARA,OSTARA,55.0,0.0,45.0,UNISEX,EDT,30.0,127000
MYKONOS ADELINA,ELIANA ECON,22.73,5.0,72.27,CEWE,EDP,50.0,129000
HOTICE  BON BON SHIMMER,LEONA,8.0,5.0,87.0,CEWE,EDT,50.0,65000
HOTICE BON BON SWEET DREAM,SWEET BABY,7.4,5.0,87.6,CEWE,EDT,50.0,124000
